age,policy_number,policy_deductable,policy_annual_premium,insured_sex,insured_education_level,insured_occupation,insured_relationship,capital_gains,capital_loss,incident_type,collision_type,incident_severity,authorities_contacted,incident_state,incident_city,number_of_vehicles_involved,property_damage,bodily_injuries,witnesses,police_report_available,total_claim_amount,injury_claim,property_claim,vehicle_claim,fraud_reported
55,285496,2000,972.18,MALE,High School,prof-specialty,other-relative,72700,-68200,Multi-vehicle Collision,Rear Collision,Major Damage,Ambulance,SC,Hillsdale,3,NO,0,0,YES,71520,17880,5960,47680,Y
40,736882,1000,883.31,MALE,College,craft-repair,husband,0,-53500,Single Vehicle Collision,Rear Collision,Minor Damage,Other,VA,Riverwood,1,NO,1,3,NO,77880,7080,14160,56640,N
35,699044,2000,1266.92,MALE,Masters,sales,own-child,0,0,Multi-vehicle Collision,Rear Collision,Major Damage,Other,OH,Arlington,3,NO,1,3,YES,71500,16500,11000,44000,Y
43,863236,2000,1322.1,MALE,High School,prof-specialty,own-child,0,-29200,Parked Car,None,Minor Damage,Police,PA,Arlington,1,YES,1,3,YES,9020,1640,820,6560,N
45,596785,2000,1104.5,FEMALE,PhD,machine-op-inspct,unmarried,0,0,Single Vehicle Collision,Rear Collision,Minor Damage,Police,SC,Northbrook,1,NO,2,2,NO,91650,14100,14100,63450,N
25,908616,1000,954.16,MALE,Masters,prof-specialty,husband,53200,0,Multi-vehicle Collision,Side Collision,Major Damage,Ambulance,SC,Columbus,4,NO,0,0,None,75600,12600,12600,50400,N
35,336614,1000,1088.34,FEMALE,Associate,adm-clerical,other-relative,81100,0,Multi-vehicle Collision,Front Collision,Total Loss,Police,NY,Arlington,3,YES,2,3,NO,29790,3310,3310,23170,N
30,584859,1000,1558.29,MALE,High School,farming-fishing,wife,51400,-64000,Multi-vehicle Collision,Front Collision,Major Damage,Ambulance,NY,Hillsdale,3,NO,1,2,None,77110,14020,14020,49070,N
37,990493,500,1415.68,MALE,PhD,prof-specialty,own-child,0,0,Single Vehicle Collision,Side Collision,Total Loss,Fire,WV,Hillsdale,1,YES,0,1,YES,64800,10800,5400,48600,N
33,129872,1000,1334.15,MALE,High School,craft-repair,not-in-family,53300,-49200,Single Vehicle Collision,Front Collision,Major Damage,Other,WV,Springfield,1,YES,2,0,YES,53100,10620,5310,37170,Y
28,200152,1000,988.45,FEMALE,Masters,protective-serv,unmarried,0,0,Single Vehicle Collision,Rear Collision,Total Loss,Police,NY,Northbrook,1,None,1,1,YES,60200,6020,6020,48160,Y
26,206213,500,1451.62,MALE,Associate,tech-support,not-in-family,0,-55700,Single Vehicle Collision,Rear Collision,Minor Damage,Ambulance,WV,Columbus,1,NO,2,2,None,40000,8000,4000,28000,N
34,616337,500,1737.66,MALE,Associate,transport-moving,unmarried,0,-24100,Single Vehicle Collision,Side Collision,Major Damage,Police,WV,Northbrook,1,None,1,1,None,97080,16180,16180,64720,Y
23,448961,500,1475.93,FEMALE,College,prof-specialty,husband,0,-67400,Multi-vehicle Collision,Side Collision,Minor Damage,Other,SC,Springfield,3,YES,1,0,NO,51660,5740,5740,40180,N
30,790442,500,538.17,FEMALE,PhD,transport-moving,own-child,49700,-60200,Single Vehicle Collision,Rear Collision,Total Loss,Other,NC,Arlington,1,NO,2,2,NO,51120,5680,5680,39760,N
33,529112,500,1240.47,FEMALE,Associate,other-service,husband,35300,0,Multi-vehicle Collision,Rear Collision,Total Loss,Fire,NC,Northbend,3,YES,1,1,None,77110,0,14020,63090,N
47,939631,2000,1273.7,MALE,College,other-service,husband,0,0,Multi-vehicle Collision,Front Collision,Major Damage,Fire,WV,Arlington,3,NO,2,1,NO,62800,6280,6280,50240,Y
34,866931,1000,1123.87,FEMALE,PhD,protective-serv,other-relative,0,0,Vehicle Theft,None,Trivial Damage,Police,NY,Arlington,1,None,2,0,YES,7290,810,810,5670,N
35,582011,1000,1245.89,FEMALE,Masters,exec-managerial,wife,0,-40300,Single Vehicle Collision,Rear Collision,Total Loss,Other,WV,Springfield,1,NO,0,0,None,76600,15320,7660,53620,N
39,394975,1000,1530.52,MALE,College,armed-forces,not-in-family,0,0,Vehicle Theft,None,Minor Damage,None,WV,Northbend,1,None,2,1,YES,4300,430,430,3440,N
39,282195,1000,1393.57,MALE,PhD,machine-op-inspct,not-in-family,47600,-39600,Parked Car,None,Minor Damage,Police,VA,Northbend,1,NO,0,1,YES,2640,480,480,1680,N
26,420810,1000,1276.57,MALE,PhD,craft-repair,not-in-family,71500,0,Single Vehicle Collision,Rear Collision,Minor Damage,Fire,NY,Arlington,1,YES,1,2,NO,78900,15780,7890,55230,N
56,524836,500,1082.49,FEMALE,PhD,prof-specialty,unmarried,36100,-55000,Multi-vehicle Collision,Front Collision,Major Damage,Fire,SC,Columbus,3,None,2,3,None,56430,0,6270,50160,N
32,307195,1000,1414.74,FEMALE,Masters,adm-clerical,own-child,0,0,Parked Car,None,Minor Damage,None,VA,Riverwood,1,NO,1,3,NO,2400,300,300,1800,N
39,623648,2000,1470.06,MALE,PhD,other-service,husband,56600,-45800,Single Vehicle Collision,Front Collision,Total Loss,Ambulance,WV,Riverwood,1,YES,0,1,NO,65790,7310,7310,51170,N
34,598554,500,795.23,MALE,PhD,machine-op-inspct,other-relative,36900,0,Multi-vehicle Collision,Rear Collision,Major Damage,Police,NY,Springfield,3,YES,2,1,None,69480,15440,0,54040,Y
32,343161,1000,993.51,MALE,High School,armed-forces,unmarried,0,-49500,Single Vehicle Collision,Side Collision,Minor Damage,Other,WV,Hillsdale,1,NO,0,3,YES,56300,5630,11260,39410,N
42,132902,2000,1641.73,MALE,PhD,sales,not-in-family,62400,0,Multi-vehicle Collision,Rear Collision,Total Loss,Fire,VA,Riverwood,3,NO,0,0,NO,59130,6570,6570,45990,Y
31,356590,500,1239.22,FEMALE,High School,tech-support,not-in-family,43400,-91200,Single Vehicle Collision,Side Collision,Minor Damage,Fire,SC,Springfield,1,YES,0,1,NO,89700,13800,13800,62100,Y
64,346002,500,835.02,FEMALE,Associate,adm-clerical,unmarried,59600,0,Multi-vehicle Collision,Side Collision,Minor Damage,Fire,WV,Hillsdale,3,NO,1,1,NO,33930,0,3770,30160,N
42,486676,500,1105.49,FEMALE,Associate,prof-specialty,own-child,56200,-50000,Multi-vehicle Collision,Side Collision,Major Damage,Other,SC,Hillsdale,2,None,2,3,None,68310,12420,6210,49680,Y
41,657045,1000,895.83,FEMALE,Associate,sales,husband,0,0,Single Vehicle Collision,Rear Collision,Minor Damage,Ambulance,NC,Arlington,1,NO,1,2,NO,30100,3010,0,27090,N
37,761189,500,1632.93,FEMALE,College,transport-moving,not-in-family,0,-42900,Multi-vehicle Collision,Rear Collision,Minor Damage,Fire,SC,Riverwood,3,NO,2,0,YES,57120,9520,4760,42840,N
40,175177,1000,1405.99,FEMALE,Associate,sales,wife,0,0,Multi-vehicle Collision,Side Collision,Minor Damage,Ambulance,VA,Springfield,3,YES,1,0,YES,42930,9540,4770,28620,N
35,116700,1000,1425.54,FEMALE,High School,transport-moving,other-relative,78300,0,Multi-vehicle Collision,Front Collision,Total Loss,Ambulance,SC,Riverwood,3,NO,2,0,NO,51210,11380,5690,34140,N
45,166264,1000,1038.09,FEMALE,College,handlers-cleaners,husband,0,-19700,Multi-vehicle Collision,Front Collision,Minor Damage,Fire,NY,Springfield,3,NO,1,1,YES,89400,14900,7450,67050,N
47,527945,500,1307.11,MALE,College,transport-moving,not-in-family,0,0,Multi-vehicle Collision,Front Collision,Total Loss,Police,WV,Northbrook,3,NO,0,2,None,59730,10860,10860,38010,N
38,279422,500,976.67,FEMALE,PhD,handlers-cleaners,unmarried,0,0,Single Vehicle Collision,Rear Collision,Major Damage,Fire,SC,Northbrook,1,None,1,2,None,72200,14440,7220,50540,Y
31,484200,2000,1340.43,MALE,High School,exec-managerial,husband,52700,-40600,Multi-vehicle Collision,Side Collision,Minor Damage,Ambulance,NC,Arlington,3,NO,1,2,NO,50800,10160,10160,30480,N
40,645258,2000,1267.81,FEMALE,Masters,exec-managerial,wife,0,0,Vehicle Theft,None,Trivial Damage,None,NC,Northbrook,1,None,2,1,None,6600,660,1320,4620,N
29,694662,1000,1234.2,MALE,Masters,other-service,other-relative,0,0,Vehicle Theft,None,Minor Damage,Police,NY,Northbrook,1,YES,2,2,NO,7500,750,1500,5250,N
35,960680,2000,1318.06,MALE,High School,exec-managerial,wife,57300,-80600,Vehicle Theft,None,Trivial Damage,None,VA,Hillsdale,1,NO,0,3,YES,6490,1180,1180,4130,N
48,498140,2000,769.95,MALE,Masters,prof-specialty,not-in-family,0,-44200,Multi-vehicle Collision,Side Collision,Major Damage,Ambulance,NY,Hillsdale,2,None,2,3,NO,60940,5540,11080,44320,Y
41,498875,2000,1514.72,MALE,High School,transport-moving,own-child,35700,0,Multi-vehicle Collision,Front Collision,Major Damage,Fire,NY,Northbrook,3,YES,0,1,None,58300,5830,11660,40810,N
34,798177,1000,873.64,FEMALE,Associate,priv-house-serv,husband,800,0,Multi-vehicle Collision,Front Collision,Minor Damage,Other,SC,Columbus,3,NO,2,1,None,68400,11400,11400,45600,N
36,679370,2000,1318.24,FEMALE,College,prof-specialty,not-in-family,0,-78600,Parked Car,None,Trivial Damage,None,WV,Arlington,1,NO,0,1,YES,4700,940,470,3290,N
25,958857,1000,1226.83,FEMALE,College,exec-managerial,not-in-family,0,-56100,Multi-vehicle Collision,Side Collision,Major Damage,Other,SC,Columbus,3,YES,2,0,None,45120,0,5640,39480,Y
29,686816,2000,1326.44,FEMALE,High School,sales,own-child,0,0,Multi-vehicle Collision,Front Collision,Total Loss,Fire,SC,Arlington,2,YES,1,1,None,66950,10300,10300,46350,N
23,127754,2000,1136.83,FEMALE,Associate,tech-support,own-child,0,-62400,Single Vehicle Collision,Side Collision,Major Damage,Police,NY,Columbus,1,NO,0,3,None,98340,8940,17880,71520,Y
42,918629,2000,1322.78,MALE,PhD,farming-fishing,own-child,55200,0,Parked Car,None,Trivial Damage,None,WV,Springfield,1,NO,0,1,NO,5900,590,590,4720,N
42,307447,500,1515.3,FEMALE,High School,machine-op-inspct,not-in-family,0,0,Multi-vehicle Collision,Rear Collision,Total Loss,Ambulance,SC,Northbend,3,NO,1,0,NO,93720,17040,8520,68160,N
25,992145,2000,1075.18,FEMALE,PhD,armed-forces,husband,67700,-58400,Vehicle Theft,None,Minor Damage,None,OH,Northbrook,1,NO,2,0,YES,6930,1260,630,5040,N
47,900628,1000,1690.27,FEMALE,Associate,protective-serv,not-in-family,61500,0,Single Vehicle Collision,Side Collision,Major Damage,Fire,VA,Springfield,1,YES,0,3,NO,72930,6630,6630,59670,Y
25,235220,2000,1352.83,MALE,Masters,farming-fishing,own-child,0,-71700,Multi-vehicle Collision,Rear Collision,Minor Damage,Other,SC,Hillsdale,4,YES,1,2,YES,64890,7210,7210,50470,Y
48,740019,1000,1148.73,FEMALE,College,machine-op-inspct,wife,0,0,Parked Car,None,Trivial Damage,None,WV,Columbus,1,None,1,2,YES,5400,900,900,3600,N
42,246882,1000,969.5,MALE,College,exec-managerial,not-in-family,0,0,Vehicle Theft,None,Trivial Damage,None,NC,Northbrook,1,NO,0,0,None,5600,700,700,4200,N
41,797613,500,1463.82,FEMALE,College,protective-serv,not-in-family,0,-72300,Single Vehicle Collision,Rear Collision,Minor Damage,Police,SC,Northbend,1,YES,0,0,None,79300,15860,15860,47580,N
27,193442,1000,1474.17,FEMALE,College,tech-support,unmarried,0,0,Single Vehicle Collision,Side Collision,Major Damage,Police,WV,Northbend,1,YES,1,0,YES,52800,10560,5280,36960,N
33,760179,1000,1427.14,FEMALE,Associate,tech-support,other-relative,35300,-58100,Parked Car,None,Minor Damage,Police,WV,Northbend,1,NO,1,1,NO,2970,330,330,2310,N
54,939905,500,1495.1,MALE,College,other-service,wife,50500,0,Multi-vehicle Collision,Side Collision,Total Loss,Police,SC,Northbend,3,NO,0,0,None,93480,15580,7790,70110,N
49,872814,500,1141.62,MALE,College,prof-specialty,husband,34300,-24300,Vehicle Theft,None,Minor Damage,None,WV,Columbus,1,YES,1,3,YES,4320,480,480,3360,N
61,632627,1000,1125.37,FEMALE,Associate,prof-specialty,husband,0,-56400,Multi-vehicle Collision,Rear Collision,Major Damage,Police,VA,Northbend,3,None,0,2,YES,79800,6650,19950,53200,Y
28,283414,2000,1207.36,FEMALE,High School,handlers-cleaners,own-child,0,-57000,Multi-vehicle Collision,Front Collision,Major Damage,Ambulance,WV,Columbus,2,NO,1,0,None,74200,7420,14840,51940,N
47,163161,2000,1338.5,FEMALE,PhD,machine-op-inspct,other-relative,28800,0,Single Vehicle Collision,Front Collision,Major Damage,Fire,NY,Northbrook,1,None,0,0,None,70590,10860,10860,48870,Y
31,853360,1000,1074.07,FEMALE,Masters,sales,husband,0,-47500,Multi-vehicle Collision,Rear Collision,Major Damage,Fire,NY,Springfield,3,NO,0,3,YES,60940,5540,11080,44320,Y
42,776860,500,1337.56,FEMALE,College,prof-specialty,unmarried,0,0,Single Vehicle Collision,Rear Collision,Minor Damage,Police,SC,Riverwood,1,None,1,2,YES,74700,7470,14940,52290,N
60,149367,500,1298.91,MALE,PhD,craft-repair,unmarried,52600,-38800,Single Vehicle Collision,Front Collision,Major Damage,Fire,NC,Springfield,1,YES,0,0,None,70000,14000,7000,49000,Y
41,395269,500,1222.75,MALE,High School,exec-managerial,other-relative,0,-41000,Multi-vehicle Collision,Rear Collision,Total Loss,Other,WV,Columbus,3,None,2,0,NO,81070,14740,14740,51590,N
51,143626,2000,1124.38,MALE,Associate,armed-forces,other-relative,0,0,Vehicle Theft,None,Minor Damage,None,VA,Northbrook,1,YES,1,1,YES,7080,1180,1180,4720,N
31,154982,2000,1374.22,FEMALE,PhD,machine-op-inspct,other-relative,62000,-63100,Single Vehicle Collision,Rear Collision,Minor Damage,Police,SC,Hillsdale,1,NO,0,3,NO,51260,9320,9320,32620,N
41,330591,2000,1103.58,MALE,High School,exec-managerial,unmarried,41200,-36200,Multi-vehicle Collision,Side Collision,Major Damage,Police,NY,Northbend,3,None,2,2,NO,70400,6400,12800,51200,Y
38,319232,2000,1269.76,FEMALE,PhD,transport-moving,not-in-family,44300,0,Single Vehicle Collision,Rear Collision,Minor Damage,Fire,NY,Hillsdale,1,NO,1,3,YES,90000,18000,9000,63000,N
39,531640,500,964.79,FEMALE,Associate,adm-clerical,husband,58000,0,Multi-vehicle Collision,Rear Collision,Minor Damage,Police,NY,Arlington,3,None,0,1,None,72820,13240,6620,52960,N
41,368050,2000,1167.3,MALE,High School,priv-house-serv,other-relative,0,0,Single Vehicle Collision,Side Collision,Minor Damage,Fire,SC,Hillsdale,1,NO,2,0,None,69300,13860,13860,41580,N
38,155724,500,1394.43,FEMALE,Masters,other-service,not-in-family,0,0,Single Vehicle Collision,Front Collision,Major Damage,Ambulance,VA,Columbus,1,None,0,1,YES,55440,0,6160,49280,Y
25,824540,2000,1053.24,FEMALE,College,prof-specialty,other-relative,51100,0,Multi-vehicle Collision,Front Collision,Total Loss,Other,NC,Arlington,4,YES,1,0,NO,77130,8570,17140,51420,N
32,428230,500,1399.26,FEMALE,High School,tech-support,own-child,70500,0,Parked Car,None,Minor Damage,Police,PA,Northbrook,1,None,2,0,None,3960,330,660,2970,N
43,517240,2000,1352.31,MALE,College,farming-fishing,wife,40700,-47300,Single Vehicle Collision,Front Collision,Major Damage,Fire,NY,Northbend,1,YES,0,3,YES,63840,10640,10640,42560,Y
28,469874,1000,1139.0,FEMALE,Masters,sales,husband,42400,0,Multi-vehicle Collision,Front Collision,Major Damage,Fire,SC,Northbend,3,None,1,2,None,44730,4970,4970,34790,Y
39,620215,500,823.17,MALE,Masters,adm-clerical,own-child,0,0,Multi-vehicle Collision,Front Collision,Major Damage,Other,WV,Columbus,3,None,2,2,NO,61500,6150,12300,43050,N
27,618659,500,965.13,FEMALE,Masters,tech-support,unmarried,60000,-54800,Multi-vehicle Collision,Front Collision,Major Damage,Ambulance,NC,Arlington,3,None,0,1,None,51000,8500,8500,34000,N
33,649082,1000,1922.84,FEMALE,High School,machine-op-inspct,wife,0,-45200,Single Vehicle Collision,Side Collision,Total Loss,Police,WV,Northbend,1,None,2,1,NO,46800,4680,9360,32760,N
32,437573,2000,1624.82,MALE,PhD,exec-managerial,unmarried,65300,-65600,Single Vehicle Collision,Side Collision,Minor Damage,Ambulance,WV,Northbend,1,None,1,1,None,78120,17360,8680,52080,N
34,964657,2000,1277.25,FEMALE,College,exec-managerial,other-relative,84900,0,Single Vehicle Collision,Rear Collision,Major Damage,Police,NY,Springfield,1,NO,1,2,None,69200,13840,6920,48440,Y
40,932502,1000,1439.34,FEMALE,High School,sales,other-relative,45300,-20400,Vehicle Theft,None,Minor Damage,Police,VA,Riverwood,1,None,0,0,NO,3690,410,410,2870,N
28,434507,1000,1281.27,FEMALE,PhD,tech-support,not-in-family,68900,0,Multi-vehicle Collision,Rear Collision,Minor Damage,Fire,SC,Springfield,3,NO,0,3,None,65500,6550,6550,52400,N
46,935277,500,1348.83,FEMALE,High School,prof-specialty,wife,46300,-77500,Multi-vehicle Collision,Rear Collision,Minor Damage,Fire,NC,Springfield,3,None,1,2,YES,76120,13840,6920,55360,N
35,682387,2000,1221.22,MALE,Masters,machine-op-inspct,other-relative,76000,0,Single Vehicle Collision,Rear Collision,Total Loss,Police,NY,Northbend,1,YES,0,1,None,52030,9460,4730,37840,N
41,456604,2000,968.74,MALE,Masters,transport-moving,wife,0,-49000,Vehicle Theft,None,Trivial Damage,None,SC,Northbrook,1,None,2,3,None,5170,470,940,3760,N
34,139872,1000,1220.71,MALE,PhD,machine-op-inspct,own-child,58600,-28700,Parked Car,None,Minor Damage,None,SC,Northbend,1,None,2,1,YES,8190,1890,1260,5040,N
58,515050,500,990.98,FEMALE,Associate,exec-managerial,wife,0,-57900,Single Vehicle Collision,Front Collision,Major Damage,Police,NC,Northbrook,1,YES,2,1,None,99320,7640,15280,76400,Y
41,795686,500,1398.51,MALE,Masters,tech-support,not-in-family,0,-57100,Multi-vehicle Collision,Side Collision,Major Damage,Fire,NC,Northbend,3,None,2,0,NO,64000,12800,6400,44800,Y
27,119513,1000,1384.51,MALE,PhD,adm-clerical,not-in-family,13100,-38200,Single Vehicle Collision,Rear Collision,Major Damage,Other,SC,Springfield,1,NO,2,3,None,71680,8960,8960,53760,Y
32,203914,1000,1000.06,FEMALE,PhD,farming-fishing,wife,0,0,Single Vehicle Collision,Side Collision,Total Loss,Other,NY,Columbus,1,None,1,0,None,82720,7520,15040,60160,N
45,565157,1000,1046.71,MALE,Masters,priv-house-serv,husband,0,0,Multi-vehicle Collision,Rear Collision,Major Damage,Fire,NC,Hillsdale,3,None,2,1,None,48060,10680,5340,32040,N
32,904191,500,1158.03,MALE,High School,exec-managerial,own-child,31900,-44600,Multi-vehicle Collision,Rear Collision,Total Loss,Police,NY,Riverwood,3,YES,1,3,YES,63570,9780,9780,44010,Y
54,419510,1000,1372.27,FEMALE,Masters,craft-repair,own-child,17600,0,Multi-vehicle Collision,Rear Collision,Total Loss,Fire,WV,Columbus,3,NO,2,3,None,63240,10540,10540,42160,N
33,575000,1000,1053.04,FEMALE,Masters,other-service,own-child,52000,-44500,Multi-vehicle Collision,Rear Collision,Minor Damage,Ambulance,NC,Northbrook,3,NO,1,3,None,54240,9040,9040,36160,Y
50,120485,1000,1275.39,MALE,Associate,sales,other-relative,0,0,Single Vehicle Collision,Front Collision,Major Damage,Police,NY,Riverwood,1,YES,2,3,NO,37280,0,0,37280,Y
38,589749,1000,1197.71,MALE,Masters,machine-op-inspct,not-in-family,29000,0,Multi-vehicle Collision,Front Collision,Total Loss,Ambulance,WV,Springfield,3,None,2,0,None,78240,13040,13040,52160,N
36,454086,1000,1152.4,FEMALE,Associate,priv-house-serv,unmarried,39600,-82400,Parked Car,None,Minor Damage,Police,VA,Springfield,1,YES,2,3,None,6160,560,1680,3920,N
30,346940,1000,1166.54,FEMALE,Masters,prof-specialty,not-in-family,47700,-59300,Single Vehicle Collision,Front Collision,Major Damage,Fire,SC,Arlington,1,YES,2,0,NO,107900,10790,21580,75530,Y
34,985436,500,1495.06,FEMALE,Masters,prof-specialty,unmarried,38100,-31400,Multi-vehicle Collision,Rear Collision,Total Loss,Fire,PA,Columbus,3,NO,2,0,YES,99990,18180,18180,63630,N
29,237418,1000,1337.92,FEMALE,PhD,armed-forces,not-in-family,71400,0,Multi-vehicle Collision,Side Collision,Minor Damage,Ambulance,WV,Columbus,3,NO,2,2,YES,61380,11160,5580,44640,N
28,335780,2000,1587.96,FEMALE,Associate,craft-repair,unmarried,0,-26900,Single Vehicle Collision,Rear Collision,Major Damage,Fire,WV,Riverwood,1,None,2,1,YES,71280,12960,12960,45360,Y
45,491392,1000,1362.29,MALE,High School,farming-fishing,unmarried,0,-51100,Multi-vehicle Collision,Front Collision,Minor Damage,Ambulance,NY,Northbend,3,NO,0,0,NO,64000,12800,6400,44800,N
46,140880,500,1448.84,FEMALE,Masters,machine-op-inspct,husband,0,-50000,Parked Car,None,Trivial Damage,Police,SC,Hillsdale,1,None,0,1,NO,5940,660,660,4620,N
37,962591,2000,1241.97,MALE,High School,other-service,not-in-family,75400,0,Parked Car,None,Minor Damage,None,NY,Hillsdale,1,NO,1,0,NO,6700,670,670,5360,N
42,922565,500,1124.6,MALE,Associate,armed-forces,not-in-family,0,0,Multi-vehicle Collision,Rear Collision,Minor Damage,Police,NY,Arlington,3,YES,0,0,None,51740,11940,7960,31840,N
28,288580,2000,1079.92,MALE,High School,machine-op-inspct,husband,88800,0,Single Vehicle Collision,Rear Collision,Total Loss,Ambulance,PA,Riverwood,1,None,0,1,YES,53600,6700,6700,40200,Y
29,154280,1000,1447.78,MALE,College,protective-serv,wife,35100,-59900,Multi-vehicle Collision,Rear Collision,Total Loss,Other,SC,Arlington,3,YES,1,0,None,44910,4990,4990,34930,N
44,477177,1000,1226.49,FEMALE,PhD,farming-fishing,unmarried,53900,0,Vehicle Theft,None,Trivial Damage,None,WV,Riverwood,1,NO,0,1,NO,6100,610,1220,4270,N
34,914815,500,1706.79,MALE,Masters,protective-serv,other-relative,0,0,Single Vehicle Collision,Front Collision,Minor Damage,Ambulance,OH,Hillsdale,1,NO,1,1,YES,77040,8560,8560,59920,N
45,249048,1000,1254.18,FEMALE,PhD,prof-specialty,other-relative,0,-45100,Single Vehicle Collision,Rear Collision,Minor Damage,Fire,SC,Columbus,1,YES,0,1,None,62590,11380,11380,39830,N
40,144323,500,885.08,FEMALE,Masters,armed-forces,other-relative,27000,-58900,Single Vehicle Collision,Front Collision,Total Loss,Other,WV,Northbend,1,YES,0,1,NO,85150,13100,13100,58950,N
36,125324,2000,1712.68,MALE,Associate,handlers-cleaners,not-in-family,72200,0,Multi-vehicle Collision,Side Collision,Major Damage,Fire,VA,Riverwood,3,None,2,0,YES,51100,10220,5110,35770,N
54,398102,2000,1097.71,FEMALE,Masters,adm-clerical,not-in-family,29600,-22300,Single Vehicle Collision,Side Collision,Minor Damage,Police,SC,Springfield,1,YES,2,3,None,100800,16800,16800,67200,N
27,514065,500,1363.77,FEMALE,Masters,tech-support,husband,51100,0,Single Vehicle Collision,Side Collision,Total Loss,Police,VA,Springfield,1,YES,2,3,NO,90970,16540,16540,57890,N
46,922167,1000,1141.35,MALE,Masters,craft-repair,not-in-family,0,0,Single Vehicle Collision,Front Collision,Major Damage,Ambulance,NY,Northbend,1,None,0,2,NO,54900,5490,5490,43920,N
25,524230,500,920.3,FEMALE,High School,tech-support,own-child,51000,-67900,Multi-vehicle Collision,Rear Collision,Major Damage,Other,WV,Hillsdale,3,None,1,0,None,73920,13440,6720,53760,Y
28,438817,1000,986.53,FEMALE,High School,adm-clerical,other-relative,62700,0,Single Vehicle Collision,Rear Collision,Total Loss,Ambulance,VA,Columbus,1,NO,0,2,YES,101860,18520,18520,64820,N
57,293794,2000,1440.68,MALE,Associate,tech-support,own-child,25000,0,Parked Car,None,Minor Damage,None,SC,Riverwood,1,YES,0,1,YES,5390,980,980,3430,N
32,882920,1000,1215.85,MALE,High School,other-service,husband,42900,-90200,Vehicle Theft,None,Minor Damage,Police,VA,Hillsdale,1,YES,1,1,YES,7040,1280,640,5120,N
44,212580,1000,1594.45,MALE,High School,handlers-cleaners,husband,0,0,Multi-vehicle Collision,Side Collision,Total Loss,Fire,NC,Columbus,2,YES,2,3,NO,55680,6960,6960,41760,N
